year,month,url
2010,5,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-may-2010.aspx
2010,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2010.aspx
2010,2,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-february-2010.aspx
2010,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2010.aspx
2009,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2009.aspx
2009,10,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-october-2009.aspx
2009,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-september-2009.aspx
2009,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2009.aspx
2009,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2009.aspx
2009,5,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-2007-09-and-uranium-r.aspx
2009,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2009.aspx
2009,2,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-february-2009.aspx
2009,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-2007-08-december-2008.aspx
2008,10,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-october-2008.aspx
2008,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-september-2008.aspx
2008,7,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-july-2008.aspx
2008,3,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-march-2008.aspx
2008,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2008.aspx
2007,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2007.aspx
2007,10,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-2006-07-and-uranium-r.aspx
2007,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-september-2007.aspx
2007,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2007.aspx
2007,7,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-july-2007.aspx
2007,5,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-may-2007.aspx
2007,3,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-march-2007.aspx
2007,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-2005-07-and-urani-(1).aspx
