year,country,type,investment
2015,USA,Solar,31.771611253196927
2016,USA,Solar,25.203836317135554
2017,USA,Solar,19.867519181585678
2018,USA,Solar,20.442199488491035
2005,USA,Wind,4.5153452685422
2006,USA,Wind,8.784398976982091
2007,USA,Wind,12.889258312020456
2008,USA,Wind,18.636061381074168
2009,USA,Wind,10.34424552429669
2010,USA,Wind,19.210741687979535
2011,USA,Wind,10.83682864450128
2012,USA,Wind,14.44910485933504
2013,USA,Wind,12.88925831202047
2014,USA,Wind,11.32941176470587
2015,USA,Wind,12.560869565217384
2016,USA,Wind,16.255242966751908
2017,USA,Wind,19.867519181585678
2018,USA,Wind,25.12173913043479
2005,USA,Other,9.768030690537142
2006,USA,Other,22.285421994885013
2007,USA,Other,27.232480818414512
2008,USA,Other,13.716624040921019
2009,USA,Other,16.13554987212298
2010,USA,Other,16.059846547314887
2011,USA,Other,19.69156010230263
2012,USA,Other,18.254987212276227
2013,USA,Other,14.552429667519174
2014,USA,Other,15.174168797953975
2015,USA,Other,14.067519181585688
2016,USA,Other,14.940920716112537
2017,USA,Other,17.864961636828646
2018,USA,Other,18.636061381074178
2005,Other,Solar,3.887530548451343
2006,Other,Solar,4.332719522591766
2007,Other,Solar,6.577971014493013
2008,Other,Solar,7.816405228758526
2009,Other,Solar,9.432645637965862
2010,Other,Solar,16.037158283603958
2011,Other,Solar,27.24481386757715
2012,Other,Solar,36.15472009093513
2013,Other,Solar,47.796615515771734
2014,Other,Solar,56.61536800227393
2015,Other,Solar,66.08708439897751
2016,Other,Solar,47.761477692527016
2017,Other,Solar,54.012674055129594
2018,Other,Solar,51.585240125035845
2005,Other,Wind,4.751707871554419
2006,Other,Wind,6.114489911906791
2007,Other,Wind,9.217070190394981
2008,Other,Wind,8.070508667234979
2009,Other,Wind,9.838797953963876
2010,Other,Wind,19.0818670076723
2011,Other,Wind,18.29520034100558
2012,Other,Wind,20.518769536800047
2013,Other,Wind,19.65943734015319
2014,Other,Wind,22.332230747370893
2015,Other,Wind,20.384057971014023
2016,Other,Wind,21.046399545324633
2017,Other,Wind,25.275572605853707
2018,Other,Wind,21.211014492753257
2005,Other,Other,15.087590848286947
2006,Other,Other,21.252790565501442
2007,Other,Other,27.104958795111997
2008,Other,Other,32.6130861040065
2009,Other,Other,23.512702749533695
2010,Other,Other,26.522438123357915
2011,Other,Other,27.561205303612354
2012,Other,Other,20.841144518606235
2013,Other,Other,20.276873973343356
2014,Other,Other,22.941425640599157
2015,Other,Other,17.056906410496318
2016,Other,Other,20.873830079221534
2017,Other,Other,20.923948460967893
2018,Other,Other,21.26959904074743
